series_id,surface
0,fine_concrete
1,fine_concrete
2,tiled
3,soft_pvc
4,hard_tiles
5,hard_tiles_large_space
6,fine_concrete
7,hard_tiles_large_space
8,hard_tiles
9,hard_tiles
10,fine_concrete
11,hard_tiles_large_space
12,soft_tiles
13,carpet
14,fine_concrete
15,wood
16,tiled
17,soft_pvc
18,wood
19,fine_concrete
20,soft_tiles
21,soft_pvc
22,fine_concrete
23,hard_tiles_large_space
24,tiled
25,wood
26,fine_concrete
27,hard_tiles_large_space
28,carpet
29,concrete
30,soft_tiles
31,hard_tiles
32,concrete
33,fine_concrete
34,fine_concrete
35,hard_tiles
36,soft_pvc
37,hard_tiles
38,fine_concrete
39,fine_concrete
40,hard_tiles
41,hard_tiles
42,soft_tiles
43,fine_concrete
44,soft_tiles
45,soft_tiles
46,wood
47,hard_tiles_large_space
48,wood
49,wood
50,carpet
51,soft_pvc
52,soft_pvc
53,hard_tiles_large_space
54,soft_tiles
55,hard_tiles_large_space
56,fine_concrete
57,wood
58,wood
59,concrete
60,hard_tiles_large_space
61,hard_tiles_large_space
62,hard_tiles_large_space
63,concrete
64,tiled
65,fine_concrete
66,fine_concrete
67,soft_pvc
68,fine_concrete
69,fine_concrete
70,hard_tiles_large_space
71,fine_concrete
72,fine_concrete
73,hard_tiles_large_space
74,fine_concrete
75,wood
76,concrete
77,fine_concrete
78,hard_tiles_large_space
79,soft_pvc
80,soft_tiles
81,concrete
82,hard_tiles
83,hard_tiles_large_space
84,concrete
85,hard_tiles
86,wood
87,concrete
88,wood
89,tiled
90,wood
91,tiled
92,soft_pvc
93,fine_concrete
94,tiled
95,concrete
96,fine_concrete
97,fine_concrete
98,hard_tiles
99,concrete
100,hard_tiles_large_space
101,hard_tiles_large_space
102,soft_pvc
103,wood
104,fine_concrete
105,hard_tiles_large_space
106,hard_tiles_large_space
107,wood
108,fine_concrete
109,hard_tiles_large_space
110,soft_pvc
111,hard_tiles_large_space
112,fine_concrete
113,fine_concrete
114,hard_tiles_large_space
115,hard_tiles
116,soft_tiles
117,hard_tiles
118,fine_concrete
119,soft_pvc
120,soft_pvc
121,wood
122,fine_concrete
123,hard_tiles_large_space
124,wood
125,hard_tiles_large_space
126,tiled
127,wood
128,fine_concrete
129,concrete
130,hard_tiles
131,wood
132,soft_pvc
133,wood
134,hard_tiles_large_space
135,fine_concrete
136,fine_concrete
137,hard_tiles_large_space
138,soft_pvc
139,fine_concrete
140,soft_pvc
141,hard_tiles_large_space
142,fine_concrete
143,hard_tiles
144,hard_tiles_large_space
145,soft_pvc
146,hard_tiles_large_space
147,concrete
148,fine_concrete
149,hard_tiles_large_space
150,carpet
151,fine_concrete
152,fine_concrete
153,hard_tiles
154,soft_pvc
155,fine_concrete
156,concrete
157,fine_concrete
158,hard_tiles_large_space
159,wood
160,carpet
161,tiled
162,fine_concrete
163,soft_tiles
164,soft_tiles
165,wood
166,hard_tiles
167,hard_tiles_large_space
168,soft_pvc
169,hard_tiles_large_space
170,hard_tiles_large_space
171,hard_tiles
172,carpet
173,soft_pvc
174,fine_concrete
175,hard_tiles_large_space
176,hard_tiles_large_space
177,fine_concrete
178,concrete
179,fine_concrete
180,hard_tiles_large_space
181,soft_pvc
182,fine_concrete
183,fine_concrete
184,tiled
185,hard_tiles_large_space
186,hard_tiles_large_space
187,fine_concrete
188,soft_pvc
189,wood
190,soft_pvc
191,wood
192,soft_tiles
193,fine_concrete
194,fine_concrete
195,tiled
196,wood
197,soft_tiles
198,concrete
199,hard_tiles
200,hard_tiles_large_space
201,fine_concrete
202,soft_pvc
203,fine_concrete
204,soft_tiles
205,soft_pvc
206,soft_pvc
207,hard_tiles_large_space
208,soft_pvc
209,hard_tiles_large_space
210,fine_concrete
211,wood
212,fine_concrete
213,soft_pvc
214,wood
215,hard_tiles
216,soft_pvc
217,carpet
218,fine_concrete
219,concrete
220,fine_concrete
221,soft_pvc
222,tiled
223,fine_concrete
224,soft_tiles
225,soft_pvc
226,hard_tiles
227,fine_concrete
228,soft_pvc
229,tiled
230,wood
231,fine_concrete
232,tiled
233,soft_pvc
234,fine_concrete
235,carpet
236,fine_concrete
237,tiled
238,hard_tiles_large_space
239,tiled
240,fine_concrete
241,tiled
242,concrete
243,fine_concrete
244,fine_concrete
245,concrete
246,wood
247,fine_concrete
248,soft_pvc
249,fine_concrete
250,hard_tiles_large_space
251,wood
252,tiled
253,hard_tiles_large_space
254,hard_tiles_large_space
255,hard_tiles
256,fine_concrete
257,fine_concrete
258,soft_tiles
259,hard_tiles
260,fine_concrete
261,fine_concrete
262,soft_tiles
263,concrete
264,hard_tiles_large_space
265,soft_pvc
266,concrete
267,hard_tiles_large_space
268,tiled
269,soft_pvc
270,fine_concrete
271,soft_tiles
272,tiled
273,hard_tiles
274,fine_concrete
275,hard_tiles_large_space
276,concrete
277,wood
278,soft_pvc
279,soft_tiles
280,hard_tiles_large_space
281,wood
282,fine_concrete
283,wood
284,soft_tiles
285,hard_tiles
286,fine_concrete
287,hard_tiles_large_space
288,hard_tiles_large_space
289,soft_tiles
290,fine_concrete
291,fine_concrete
292,fine_concrete
293,soft_pvc
294,hard_tiles_large_space
295,fine_concrete
296,fine_concrete
297,concrete
298,soft_pvc
299,fine_concrete
300,hard_tiles
301,hard_tiles
302,hard_tiles
303,hard_tiles_large_space
304,hard_tiles_large_space
305,fine_concrete
306,hard_tiles_large_space
307,hard_tiles_large_space
308,hard_tiles_large_space
309,concrete
310,hard_tiles_large_space
311,soft_tiles
312,carpet
313,wood
314,soft_pvc
315,hard_tiles_large_space
316,soft_pvc
317,soft_tiles
318,hard_tiles_large_space
319,soft_pvc
320,hard_tiles_large_space
321,soft_pvc
322,fine_concrete
323,soft_tiles
324,hard_tiles_large_space
325,wood
326,hard_tiles_large_space
327,soft_tiles
328,concrete
329,carpet
330,tiled
331,fine_concrete
332,tiled
333,fine_concrete
334,hard_tiles_large_space
335,concrete
336,tiled
337,hard_tiles_large_space
338,fine_concrete
339,wood
340,soft_pvc
341,tiled
342,soft_pvc
343,soft_tiles
344,hard_tiles
345,tiled
346,tiled
347,wood
348,hard_tiles_large_space
349,soft_tiles
350,hard_tiles_large_space
351,soft_pvc
352,tiled
353,wood
354,wood
355,concrete
356,soft_tiles
357,soft_tiles
358,concrete
359,soft_tiles
360,hard_tiles_large_space
361,hard_tiles_large_space
362,concrete
363,soft_pvc
364,hard_tiles_large_space
365,fine_concrete
366,tiled
367,wood
368,soft_pvc
369,tiled
370,hard_tiles_large_space
371,wood
372,soft_pvc
373,concrete
374,wood
375,hard_tiles_large_space
376,soft_tiles
377,tiled
378,hard_tiles_large_space
379,fine_concrete
380,hard_tiles_large_space
381,hard_tiles
382,wood
383,tiled
384,hard_tiles
385,concrete
386,hard_tiles_large_space
387,hard_tiles
388,concrete
389,soft_pvc
390,soft_pvc
391,soft_tiles
392,fine_concrete
393,soft_pvc
394,fine_concrete
395,soft_tiles
396,tiled
397,fine_concrete
398,concrete
399,fine_concrete
400,hard_tiles_large_space
401,soft_pvc
402,wood
403,soft_tiles
404,hard_tiles
405,soft_tiles
406,wood
407,fine_concrete
408,hard_tiles_large_space
409,fine_concrete
410,tiled
411,wood
412,tiled
413,fine_concrete
414,wood
415,hard_tiles_large_space
416,fine_concrete
417,soft_tiles
418,hard_tiles
419,hard_tiles_large_space
420,hard_tiles
421,wood
422,hard_tiles_large_space
423,tiled
424,soft_pvc
425,fine_concrete
426,wood
427,wood
428,concrete
429,concrete
430,hard_tiles_large_space
431,hard_tiles_large_space
432,soft_pvc
433,fine_concrete
434,hard_tiles
435,wood
436,tiled
437,soft_pvc
438,soft_pvc
439,fine_concrete
440,soft_tiles
441,carpet
442,tiled
443,fine_concrete
444,wood
445,fine_concrete
446,fine_concrete
447,hard_tiles_large_space
448,hard_tiles
449,wood
450,soft_pvc
451,fine_concrete
452,wood
453,hard_tiles_large_space
454,soft_tiles
455,tiled
456,hard_tiles_large_space
457,fine_concrete
458,fine_concrete
459,soft_tiles
460,soft_tiles
461,hard_tiles_large_space
462,tiled
463,hard_tiles_large_space
464,hard_tiles_large_space
465,fine_concrete
466,tiled
467,soft_tiles
468,soft_tiles
469,hard_tiles
470,soft_pvc
471,soft_pvc
472,hard_tiles_large_space
473,hard_tiles_large_space
474,hard_tiles_large_space
475,hard_tiles
476,wood
477,fine_concrete
478,soft_tiles
479,fine_concrete
480,hard_tiles
481,concrete
482,fine_concrete
483,hard_tiles_large_space
484,wood
485,fine_concrete
486,fine_concrete
487,concrete
488,soft_pvc
489,tiled
490,wood
491,fine_concrete
492,hard_tiles_large_space
493,soft_tiles
494,soft_pvc
495,wood
496,soft_tiles
497,tiled
498,tiled
499,hard_tiles_large_space
500,concrete
501,wood
502,fine_concrete
503,hard_tiles_large_space
504,wood
505,fine_concrete
506,hard_tiles_large_space
507,hard_tiles_large_space
508,soft_tiles
509,hard_tiles
510,soft_pvc
511,soft_pvc
512,soft_pvc
513,hard_tiles
514,fine_concrete
515,concrete
516,fine_concrete
517,soft_tiles
518,hard_tiles_large_space
519,soft_tiles
520,tiled
521,soft_pvc
522,fine_concrete
523,wood
524,concrete
525,tiled
526,wood
527,fine_concrete
528,tiled
529,fine_concrete
530,soft_pvc
531,fine_concrete
532,fine_concrete
533,soft_tiles
534,hard_tiles_large_space
535,hard_tiles_large_space
536,fine_concrete
537,soft_tiles
538,carpet
539,tiled
540,concrete
541,soft_pvc
542,fine_concrete
543,fine_concrete
544,fine_concrete
545,wood
546,wood
547,fine_concrete
548,fine_concrete
549,hard_tiles_large_space
550,soft_tiles
551,soft_pvc
552,fine_concrete
553,hard_tiles_large_space
554,hard_tiles
555,tiled
556,wood
557,wood
558,hard_tiles_large_space
559,soft_pvc
560,soft_tiles
561,fine_concrete
562,concrete
563,hard_tiles_large_space
564,hard_tiles_large_space
565,hard_tiles_large_space
566,concrete
567,hard_tiles_large_space
568,concrete
569,wood
570,concrete
571,wood
572,wood
573,fine_concrete
574,fine_concrete
575,soft_tiles
576,hard_tiles_large_space
577,tiled
578,concrete
579,tiled
580,soft_tiles
581,hard_tiles_large_space
582,hard_tiles_large_space
583,soft_pvc
584,hard_tiles_large_space
585,fine_concrete
586,soft_tiles
587,fine_concrete
588,soft_pvc
589,fine_concrete
590,hard_tiles_large_space
591,tiled
592,fine_concrete
593,tiled
594,wood
595,hard_tiles_large_space
596,hard_tiles_large_space
597,wood
598,concrete
599,concrete
600,hard_tiles_large_space
601,soft_pvc
602,soft_pvc
603,soft_tiles
604,wood
605,soft_tiles
606,soft_pvc
607,hard_tiles_large_space
608,hard_tiles_large_space
609,soft_pvc
610,fine_concrete
611,fine_concrete
612,fine_concrete
613,fine_concrete
614,soft_pvc
615,concrete
616,hard_tiles_large_space
617,hard_tiles_large_space
618,hard_tiles_large_space
619,soft_pvc
620,hard_tiles_large_space
621,soft_pvc
622,fine_concrete
623,wood
624,fine_concrete
625,soft_pvc
626,fine_concrete
627,tiled
628,soft_pvc
629,hard_tiles
630,fine_concrete
631,soft_pvc
632,wood
633,soft_pvc
634,hard_tiles
635,tiled
636,soft_tiles
637,hard_tiles_large_space
638,soft_tiles
639,tiled
640,soft_pvc
641,soft_tiles
642,tiled
643,hard_tiles_large_space
644,carpet
645,tiled
646,hard_tiles
647,hard_tiles_large_space
648,soft_tiles
649,concrete
650,soft_tiles
651,hard_tiles
652,tiled
653,wood
654,fine_concrete
655,wood
656,concrete
657,wood
658,soft_tiles
659,hard_tiles_large_space
660,fine_concrete
661,fine_concrete
662,fine_concrete
663,fine_concrete
664,hard_tiles_large_space
665,hard_tiles_large_space
666,fine_concrete
667,soft_tiles
668,soft_tiles
669,hard_tiles
670,fine_concrete
671,fine_concrete
672,concrete
673,fine_concrete
674,wood
675,wood
676,soft_tiles
677,tiled
678,fine_concrete
679,wood
680,fine_concrete
681,fine_concrete
682,fine_concrete
683,wood
684,soft_pvc
685,wood
686,wood
687,hard_tiles_large_space
688,soft_pvc
689,wood
690,tiled
691,soft_pvc
692,soft_pvc
693,wood
694,wood
695,hard_tiles
696,soft_pvc
697,wood
698,soft_tiles
699,fine_concrete
700,wood
701,hard_tiles_large_space
702,soft_pvc
703,hard_tiles_large_space
704,soft_pvc
705,carpet
706,fine_concrete
707,fine_concrete
708,wood
709,fine_concrete
710,hard_tiles
711,hard_tiles_large_space
712,hard_tiles_large_space
713,wood
714,wood
715,fine_concrete
716,hard_tiles_large_space
717,fine_concrete
718,hard_tiles_large_space
719,carpet
720,soft_pvc
