series_id,surface
0,hard_tiles_large_space
1,concrete
2,tiled
3,soft_tiles
4,soft_tiles
5,concrete
6,fine_concrete
7,concrete
8,wood
9,wood
10,soft_pvc
11,soft_pvc
12,wood
13,soft_pvc
14,concrete
15,wood
16,carpet
17,soft_tiles
18,wood
19,concrete
20,soft_pvc
21,wood
22,soft_pvc
23,hard_tiles_large_space
24,wood
25,wood
26,concrete
27,tiled
28,carpet
29,concrete
30,wood
31,hard_tiles
32,concrete
33,soft_pvc
34,soft_pvc
35,wood
36,wood
37,tiled
38,soft_pvc
39,soft_pvc
40,carpet
41,soft_pvc
42,soft_pvc
43,carpet
44,soft_pvc
45,wood
46,wood
47,carpet
48,soft_pvc
49,wood
50,wood
51,soft_tiles
52,fine_concrete
53,wood
54,carpet
55,wood
56,tiled
57,concrete
58,concrete
59,tiled
60,fine_concrete
61,tiled
62,carpet
63,concrete
64,concrete
65,soft_pvc
66,fine_concrete
67,fine_concrete
68,soft_pvc
69,hard_tiles_large_space
70,tiled
71,soft_pvc
72,hard_tiles_large_space
73,wood
74,carpet
75,fine_concrete
76,tiled
77,wood
78,concrete
79,wood
80,soft_tiles
81,fine_concrete
82,wood
83,tiled
84,concrete
85,soft_pvc
86,fine_concrete
87,concrete
88,concrete
89,concrete
90,wood
91,concrete
92,soft_tiles
93,carpet
94,tiled
95,concrete
96,soft_pvc
97,concrete
98,hard_tiles_large_space
99,hard_tiles_large_space
100,hard_tiles_large_space
101,hard_tiles_large_space
102,soft_pvc
103,wood
104,fine_concrete
105,concrete
106,concrete
107,wood
108,soft_pvc
109,tiled
110,soft_pvc
111,hard_tiles_large_space
112,soft_pvc
113,fine_concrete
114,concrete
115,soft_tiles
116,soft_pvc
117,tiled
118,carpet
119,soft_pvc
120,soft_pvc
121,wood
122,tiled
123,concrete
124,wood
125,tiled
126,tiled
127,wood
128,soft_pvc
129,concrete
130,wood
131,wood
132,wood
133,wood
134,hard_tiles_large_space
135,fine_concrete
136,concrete
137,concrete
138,soft_tiles
139,soft_pvc
140,soft_tiles
141,concrete
142,concrete
143,soft_pvc
144,tiled
145,carpet
146,concrete
147,hard_tiles_large_space
148,hard_tiles_large_space
149,concrete
150,concrete
151,soft_pvc
152,carpet
153,tiled
154,soft_tiles
155,soft_tiles
156,tiled
157,soft_pvc
158,tiled
159,carpet
160,soft_pvc
161,hard_tiles_large_space
162,concrete
163,wood
164,carpet
165,wood
166,fine_concrete
167,hard_tiles_large_space
168,soft_tiles
169,hard_tiles_large_space
170,hard_tiles_large_space
171,soft_pvc
172,wood
173,wood
174,soft_pvc
175,concrete
176,concrete
177,hard_tiles_large_space
178,concrete
179,carpet
180,concrete
181,carpet
182,soft_pvc
183,soft_pvc
184,concrete
185,hard_tiles_large_space
186,tiled
187,soft_pvc
188,wood
189,carpet
190,carpet
191,wood
192,wood
193,concrete
194,wood
195,soft_pvc
196,carpet
197,concrete
198,concrete
199,soft_pvc
200,hard_tiles_large_space
201,wood
202,soft_tiles
203,hard_tiles_large_space
204,soft_tiles
205,fine_concrete
206,soft_pvc
207,carpet
208,soft_pvc
209,hard_tiles_large_space
210,fine_concrete
211,wood
212,soft_pvc
213,carpet
214,wood
215,concrete
216,soft_tiles
217,carpet
218,soft_pvc
219,concrete
220,soft_pvc
221,soft_tiles
222,hard_tiles_large_space
223,soft_pvc
224,wood
225,soft_pvc
226,wood
227,concrete
228,wood
229,tiled
230,soft_pvc
231,fine_concrete
232,concrete
233,soft_pvc
234,soft_pvc
235,soft_pvc
236,soft_pvc
237,concrete
238,hard_tiles_large_space
239,fine_concrete
240,carpet
241,tiled
242,tiled
243,fine_concrete
244,wood
245,tiled
246,fine_concrete
247,hard_tiles_large_space
248,carpet
249,concrete
250,tiled
251,carpet
252,wood
253,fine_concrete
254,concrete
255,wood
256,fine_concrete
257,soft_pvc
258,wood
259,soft_tiles
260,concrete
261,soft_pvc
262,soft_pvc
263,concrete
264,concrete
265,concrete
266,tiled
267,tiled
268,tiled
269,soft_pvc
270,fine_concrete
271,concrete
272,concrete
273,hard_tiles_large_space
274,tiled
275,concrete
276,tiled
277,soft_pvc
278,wood
279,soft_tiles
280,concrete
281,soft_pvc
282,hard_tiles_large_space
283,carpet
284,wood
285,soft_pvc
286,concrete
287,concrete
288,tiled
289,hard_tiles_large_space
290,hard_tiles_large_space
291,hard_tiles_large_space
292,hard_tiles_large_space
293,concrete
294,tiled
295,soft_pvc
296,fine_concrete
297,wood
298,soft_tiles
299,concrete
300,soft_pvc
301,soft_tiles
302,soft_pvc
303,concrete
304,hard_tiles_large_space
305,soft_pvc
306,tiled
307,concrete
308,concrete
309,concrete
310,hard_tiles_large_space
311,soft_pvc
312,soft_tiles
313,wood
314,soft_pvc
315,concrete
316,wood
317,wood
318,wood
319,wood
320,hard_tiles_large_space
321,soft_pvc
322,soft_pvc
323,concrete
324,tiled
325,wood
326,concrete
327,carpet
328,concrete
329,soft_pvc
330,hard_tiles_large_space
331,fine_concrete
332,tiled
333,concrete
334,concrete
335,hard_tiles_large_space
336,concrete
337,wood
338,soft_pvc
339,wood
340,wood
341,hard_tiles_large_space
342,fine_concrete
343,concrete
344,carpet
345,concrete
346,wood
347,wood
348,concrete
349,carpet
350,hard_tiles_large_space
351,wood
352,tiled
353,hard_tiles
354,wood
355,tiled
356,soft_tiles
357,hard_tiles_large_space
358,hard_tiles_large_space
359,wood
360,tiled
361,concrete
362,concrete
363,soft_tiles
364,tiled
365,wood
366,carpet
367,wood
368,soft_pvc
369,concrete
370,fine_concrete
371,wood
372,soft_pvc
373,concrete
374,wood
375,wood
376,soft_tiles
377,tiled
378,tiled
379,tiled
380,carpet
381,soft_tiles
382,wood
383,hard_tiles_large_space
384,fine_concrete
385,concrete
386,fine_concrete
387,soft_pvc
388,tiled
389,carpet
390,soft_tiles
391,wood
392,concrete
393,fine_concrete
394,tiled
395,soft_tiles
396,tiled
397,soft_pvc
398,concrete
399,concrete
400,hard_tiles_large_space
401,fine_concrete
402,carpet
403,wood
404,wood
405,concrete
406,wood
407,concrete
408,concrete
409,soft_pvc
410,fine_concrete
411,wood
412,carpet
413,soft_pvc
414,carpet
415,hard_tiles_large_space
416,concrete
417,carpet
418,carpet
419,tiled
420,wood
421,concrete
422,tiled
423,soft_pvc
424,hard_tiles
425,soft_pvc
426,wood
427,soft_pvc
428,hard_tiles_large_space
429,concrete
430,concrete
431,tiled
432,soft_pvc
433,concrete
434,hard_tiles_large_space
435,wood
436,concrete
437,soft_tiles
438,carpet
439,soft_pvc
440,soft_pvc
441,soft_tiles
442,soft_pvc
443,soft_pvc
444,wood
445,soft_pvc
446,carpet
447,hard_tiles_large_space
448,wood
449,tiled
450,fine_concrete
451,concrete
452,wood
453,wood
454,soft_tiles
455,concrete
456,concrete
457,soft_pvc
458,tiled
459,soft_pvc
460,soft_tiles
461,wood
462,tiled
463,fine_concrete
464,concrete
465,concrete
466,tiled
467,tiled
468,soft_tiles
469,concrete
470,soft_pvc
471,soft_tiles
472,hard_tiles_large_space
473,tiled
474,carpet
475,carpet
476,wood
477,concrete
478,soft_pvc
479,wood
480,wood
481,concrete
482,concrete
483,hard_tiles_large_space
484,soft_pvc
485,carpet
486,hard_tiles_large_space
487,concrete
488,wood
489,concrete
490,carpet
491,soft_pvc
492,concrete
493,fine_concrete
494,soft_pvc
495,wood
496,wood
497,carpet
498,concrete
499,hard_tiles_large_space
500,concrete
501,soft_pvc
502,tiled
503,tiled
504,soft_pvc
505,fine_concrete
506,concrete
507,fine_concrete
508,soft_tiles
509,wood
510,fine_concrete
511,soft_tiles
512,soft_tiles
513,soft_tiles
514,soft_pvc
515,tiled
516,soft_pvc
517,wood
518,concrete
519,soft_tiles
520,tiled
521,soft_tiles
522,concrete
523,wood
524,concrete
525,hard_tiles_large_space
526,soft_pvc
527,hard_tiles_large_space
528,hard_tiles_large_space
529,tiled
530,fine_concrete
531,carpet
532,soft_pvc
533,soft_pvc
534,concrete
535,hard_tiles_large_space
536,concrete
537,wood
538,wood
539,wood
540,hard_tiles_large_space
541,carpet
542,soft_pvc
543,concrete
544,soft_tiles
545,carpet
546,wood
547,soft_pvc
548,concrete
549,concrete
550,soft_tiles
551,soft_tiles
552,carpet
553,concrete
554,soft_tiles
555,tiled
556,wood
557,wood
558,hard_tiles_large_space
559,wood
560,fine_concrete
561,wood
562,tiled
563,wood
564,wood
565,hard_tiles_large_space
566,tiled
567,wood
568,wood
569,soft_pvc
570,tiled
571,carpet
572,concrete
573,soft_pvc
574,hard_tiles_large_space
575,wood
576,concrete
577,tiled
578,tiled
579,wood
580,soft_tiles
581,concrete
582,concrete
583,soft_tiles
584,concrete
585,fine_concrete
586,fine_concrete
587,soft_pvc
588,soft_pvc
589,concrete
590,tiled
591,concrete
592,wood
593,concrete
594,concrete
595,concrete
596,concrete
597,wood
598,tiled
599,concrete
600,fine_concrete
601,carpet
602,fine_concrete
603,concrete
604,soft_pvc
605,hard_tiles_large_space
606,soft_tiles
607,hard_tiles_large_space
608,concrete
609,wood
610,hard_tiles_large_space
611,concrete
612,soft_pvc
613,wood
614,soft_pvc
615,hard_tiles_large_space
616,hard_tiles_large_space
617,concrete
618,carpet
619,wood
620,concrete
621,soft_tiles
622,concrete
623,wood
624,tiled
625,soft_tiles
626,soft_pvc
627,soft_pvc
628,soft_tiles
629,soft_pvc
630,concrete
631,wood
632,wood
633,wood
634,fine_concrete
635,concrete
636,soft_tiles
637,concrete
638,soft_pvc
639,hard_tiles_large_space
640,soft_pvc
641,hard_tiles_large_space
642,concrete
643,tiled
644,soft_tiles
645,soft_pvc
646,hard_tiles_large_space
647,fine_concrete
648,tiled
649,hard_tiles_large_space
650,concrete
651,soft_tiles
652,wood
653,hard_tiles_large_space
654,hard_tiles_large_space
655,soft_pvc
656,tiled
657,carpet
658,carpet
659,concrete
660,wood
661,concrete
662,soft_pvc
